date,category,type,income_source,amount,income_amount,expense_amount,savings_amount,planned_budget,payment_method,region
01-06-21,Transport,Expense,,5024,0,5024,0,50416,UPI,East
01-06-21,Utilities,Expense,,2632,0,2632,0,50416,UPI,East
01-06-21,Entertainment,Expense,,8586,0,8586,0,50416,Card,East
01-06-21,Medical,Expense,,2032,0,2032,0,50416,Auto Debit,East
01-06-21,Savings,Savings,,8411,0,0,8411,0,UPI,East
01-06-21,Investment SIP,Investment,,8033,0,8033,0,50416,Card,East
01-07-21,Salary,Income,Job,52239,52239,0,0,0,Auto Debit,West
01-07-21,Freelance,Income,Freelancing,12841,12841,0,0,0,UPI,West
01-07-21,Rent,Expense,,12840,0,12840,0,45024,Auto Debit,West
01-07-21,Groceries,Expense,,13515,0,13515,0,45024,UPI,West
01-07-21,Transport,Expense,,3464,0,3464,0,45024,Auto Debit,West
01-07-21,Utilities,Expense,,4629,0,4629,0,45024,Card,West
01-07-21,Entertainment,Expense,,5130,0,5130,0,45024,Bank Transfer,West
01-07-21,Medical,Expense,,3837,0,3837,0,45024,Card,West
01-07-21,Savings,Savings,,10656,0,0,10656,0,Bank Transfer,West
01-07-21,Investment SIP,Investment,,12266,0,12266,0,45024,UPI,West
01-08-21,Salary,Income,Job,49618,49618,0,0,0,Bank Transfer,East
01-08-21,Freelance,Income,Freelancing,21069,21069,0,0,0,Auto Debit,East
01-08-21,Rent,Expense,,15361,0,15361,0,42499,Auto Debit,East
01-08-21,Groceries,Expense,,13404,0,13404,0,42499,Bank Transfer,East
01-08-21,Transport,Expense,,2591,0,2591,0,42499,UPI,East
01-08-21,Utilities,Expense,,2709,0,2709,0,42499,Bank Transfer,East
01-08-21,Entertainment,Expense,,6134,0,6134,0,42499,Card,East
01-08-21,Medical,Expense,,1262,0,1262,0,42499,UPI,East
01-08-21,Savings,Savings,,20440,0,0,20440,0,UPI,East
01-08-21,Investment SIP,Investment,,8011,0,8011,0,42499,Auto Debit,East
01-09-21,Salary,Income,Job,69108,69108,0,0,0,UPI,East
01-09-21,Freelance,Income,Freelancing,12754,12754,0,0,0,UPI,East
01-09-21,Rent,Expense,,17103,0,17103,0,44731,Bank Transfer,East
01-09-21,Groceries,Expense,,8784,0,8784,0,44731,Auto Debit,East
01-09-21,Transport,Expense,,5903,0,5903,0,44731,Card,East
01-09-21,Utilities,Expense,,3772,0,3772,0,44731,Auto Debit,East
01-09-21,Entertainment,Expense,,5523,0,5523,0,44731,Bank Transfer,East
01-09-21,Medical,Expense,,1929,0,1929,0,44731,Bank Transfer,East
01-09-21,Savings,Savings,,14617,0,0,14617,0,Auto Debit,East
01-09-21,Investment SIP,Investment,,8957,0,8957,0,44731,Auto Debit,East
01-10-21,Salary,Income,Job,68462,68462,0,0,0,Card,East
01-10-21,Freelance,Income,Freelancing,17306,17306,0,0,0,UPI,East
01-10-21,Rent,Expense,,19708,0,19708,0,48106,Auto Debit,East
01-10-21,Groceries,Expense,,6578,0,6578,0,48106,Auto Debit,East
01-10-21,Transport,Expense,,4968,0,4968,0,48106,Auto Debit,East
01-10-21,Utilities,Expense,,4370,0,4370,0,48106,Bank Transfer,East
01-10-21,Entertainment,Expense,,8711,0,8711,0,48106,Auto Debit,East
01-10-21,Medical,Expense,,4159,0,4159,0,48106,Card,East
01-10-21,Savings,Savings,,13574,0,0,13574,0,UPI,East
01-10-21,Investment SIP,Investment,,8873,0,8873,0,48106,Bank Transfer,East
01-11-21,Salary,Income,Job,87690,87690,0,0,0,Auto Debit,North
01-11-21,Freelance,Income,Freelancing,19257,19257,0,0,0,Card,North
01-11-21,Rent,Expense,,16335,0,16335,0,44146,UPI,North
01-11-21,Groceries,Expense,,9037,0,9037,0,44146,Auto Debit,North
01-11-21,Transport,Expense,,3054,0,3054,0,44146,Bank Transfer,North
01-11-21,Utilities,Expense,,5003,0,5003,0,44146,Bank Transfer,North
01-11-21,Entertainment,Expense,,8067,0,8067,0,44146,UPI,North
01-11-21,Medical,Expense,,3040,0,3040,0,44146,UPI,North
01-11-21,Savings,Savings,,20386,0,0,20386,0,UPI,North
01-11-21,Investment SIP,Investment,,7700,0,7700,0,44146,Card,North
01-12-21,Salary,Income,Job,68994,68994,0,0,0,Bank Transfer,North
01-12-21,Freelance,Income,Freelancing,17742,17742,0,0,0,Card,North
01-12-21,Rent,Expense,,20193,0,20193,0,46691,Card,North
01-12-21,Groceries,Expense,,9370,0,9370,0,46691,Bank Transfer,North
01-12-21,Transport,Expense,,4487,0,4487,0,46691,Card,North
01-12-21,Utilities,Expense,,3431,0,3431,0,46691,Bank Transfer,North
01-12-21,Entertainment,Expense,,7595,0,7595,0,46691,Auto Debit,North
01-12-21,Medical,Expense,,2325,0,2325,0,46691,Auto Debit,North
01-12-21,Savings,Savings,,14218,0,0,14218,0,Card,North
01-12-21,Investment SIP,Investment,,11841,0,11841,0,46691,UPI,North
01-01-22,Salary,Income,Job,77242,77242,0,0,0,Auto Debit,West
01-01-22,Freelance,Income,Freelancing,10338,10338,0,0,0,Bank Transfer,West
01-01-22,Rent,Expense,,16824,0,16824,0,41697,Auto Debit,West
01-01-22,Groceries,Expense,,7585,0,7585,0,41697,UPI,West
01-01-22,Transport,Expense,,3339,0,3339,0,41697,Auto Debit,West
01-01-22,Utilities,Expense,,3424,0,3424,0,41697,Card,West
01-01-22,Entertainment,Expense,,8627,0,8627,0,41697,Bank Transfer,West
01-01-22,Medical,Expense,,3673,0,3673,0,41697,Bank Transfer,West
01-01-22,Savings,Savings,,12107,0,0,12107,0,UPI,West
01-01-22,Investment SIP,Investment,,6176,0,6176,0,41697,Auto Debit,West
01-02-22,Salary,Income,Job,62221,62221,0,0,0,Bank Transfer,West
01-02-22,Freelance,Income,Freelancing,13418,13418,0,0,0,Bank Transfer,West
01-02-22,Rent,Expense,,14925,0,14925,0,39882,Auto Debit,West
01-02-22,Groceries,Expense,,8631,0,8631,0,39882,Auto Debit,West
01-02-22,Transport,Expense,,4698,0,4698,0,39882,UPI,West
01-02-22,Utilities,Expense,,4809,0,4809,0,39882,Card,West
01-02-22,Entertainment,Expense,,3406,0,3406,0,39882,Card,West
01-02-22,Medical,Expense,,1903,0,1903,0,39882,Bank Transfer,West
01-02-22,Savings,Savings,,9606,0,0,9606,0,UPI,West
01-02-22,Investment SIP,Investment,,14752,0,14752,0,39882,Card,West
01-03-22,Salary,Income,Job,86520,86520,0,0,0,Auto Debit,West
01-03-22,Freelance,Income,Freelancing,22245,22245,0,0,0,Card,West
01-03-22,Rent,Expense,,19169,0,19169,0,46444,Auto Debit,West
01-03-22,Groceries,Expense,,13462,0,13462,0,46444,Bank Transfer,West
01-03-22,Transport,Expense,,4392,0,4392,0,46444,Auto Debit,West
01-03-22,Utilities,Expense,,5352,0,5352,0,46444,UPI,West
01-03-22,Entertainment,Expense,,4454,0,4454,0,46444,UPI,West
01-03-22,Medical,Expense,,825,0,825,0,46444,Bank Transfer,West
01-03-22,Savings,Savings,,21948,0,0,21948,0,Bank Transfer,West
01-03-22,Investment SIP,Investment,,5121,0,5121,0,46444,Bank Transfer,West
01-04-22,Salary,Income,Job,84694,84694,0,0,0,Auto Debit,East
01-04-22,Freelance,Income,Freelancing,6837,6837,0,0,0,Auto Debit,East
01-04-22,Rent,Expense,,18611,0,18611,0,44898,Bank Transfer,East
01-04-22,Groceries,Expense,,7796,0,7796,0,44898,Bank Transfer,East
01-04-22,Transport,Expense,,2896,0,2896,0,44898,Bank Transfer,East
01-04-22,Utilities,Expense,,3721,0,3721,0,44898,Card,East
01-04-22,Entertainment,Expense,,6046,0,6046,0,44898,UPI,East
01-04-22,Medical,Expense,,3922,0,3922,0,44898,Card,East
01-04-22,Savings,Savings,,14767,0,0,14767,0,Auto Debit,East
01-04-22,Investment SIP,Investment,,10571,0,10571,0,44898,Card,East
01-05-22,Salary,Income,Job,56968,56968,0,0,0,Auto Debit,West
01-05-22,Freelance,Income,Freelancing,8505,8505,0,0,0,Bank Transfer,West
01-05-22,Rent,Expense,,17894,0,17894,0,43326,Bank Transfer,West
01-05-22,Groceries,Expense,,7261,0,7261,0,43326,Auto Debit,West
01-05-22,Transport,Expense,,2692,0,2692,0,43326,Auto Debit,West
01-05-22,Utilities,Expense,,5345,0,5345,0,43326,Bank Transfer,West
01-05-22,Entertainment,Expense,,6180,0,6180,0,43326,UPI,West
01-05-22,Medical,Expense,,4375,0,4375,0,43326,Card,West
01-05-22,Savings,Savings,,15858,0,0,15858,0,Auto Debit,West
01-05-22,Investment SIP,Investment,,13053,0,13053,0,43326,UPI,West
01-06-22,Salary,Income,Job,62012,62012,0,0,0,UPI,North
01-06-22,Freelance,Income,Freelancing,19831,19831,0,0,0,UPI,North
01-06-22,Rent,Expense,,15009,0,15009,0,45022,Card,North
01-06-22,Groceries,Expense,,13484,0,13484,0,45022,Card,North
01-06-22,Transport,Expense,,4352,0,4352,0,45022,Card,North
01-06-22,Utilities,Expense,,4408,0,4408,0,45022,Auto Debit,North
01-06-22,Entertainment,Expense,,4979,0,4979,0,45022,Auto Debit,North
01-06-22,Medical,Expense,,1995,0,1995,0,45022,Card,North
01-06-22,Savings,Savings,,14004,0,0,14004,0,Card,North
01-06-22,Investment SIP,Investment,,13573,0,13573,0,45022,Card,North
01-07-22,Salary,Income,Job,81897,81897,0,0,0,Card,South
01-07-22,Freelance,Income,Freelancing,17216,17216,0,0,0,Bank Transfer,South
01-07-22,Rent,Expense,,18170,0,18170,0,47415,Bank Transfer,South
01-07-22,Groceries,Expense,,13664,0,13664,0,47415,Auto Debit,South
01-07-22,Transport,Expense,,3985,0,3985,0,47415,Card,South
01-07-22,Utilities,Expense,,5221,0,5221,0,47415,Card,South
01-07-22,Entertainment,Expense,,4689,0,4689,0,47415,Bank Transfer,South
01-07-22,Medical,Expense,,2465,0,2465,0,47415,UPI,South
01-07-22,Savings,Savings,,13730,0,0,13730,0,Auto Debit,South
01-07-22,Investment SIP,Investment,,5654,0,5654,0,47415,Card,South
01-08-22,Salary,Income,Job,45608,45608,0,0,0,Card,East
01-08-22,Freelance,Income,Freelancing,13764,13764,0,0,0,Auto Debit,East
01-08-22,Rent,Expense,,21094,0,21094,0,43589,UPI,East
01-08-22,Groceries,Expense,,11341,0,11341,0,43589,Card,East
01-08-22,Transport,Expense,,4078,0,4078,0,43589,Bank Transfer,East
01-08-22,Utilities,Expense,,3021,0,3021,0,43589,Auto Debit,East
01-08-22,Entertainment,Expense,,3520,0,3520,0,43589,Auto Debit,East
01-08-22,Medical,Expense,,914,0,914,0,43589,Bank Transfer,East
01-08-22,Savings,Savings,,12925,0,0,12925,0,UPI,East
01-08-22,Investment SIP,Investment,,7195,0,7195,0,43589,Card,East
01-09-22,Salary,Income,Job,47694,47694,0,0,0,Card,North
01-09-22,Freelance,Income,Freelancing,16837,16837,0,0,0,Bank Transfer,North
01-09-22,Rent,Expense,,13127,0,13127,0,42291,Bank Transfer,North
01-09-22,Groceries,Expense,,12818,0,12818,0,42291,Auto Debit,North
01-09-22,Transport,Expense,,5129,0,5129,0,42291,UPI,North
01-09-22,Utilities,Expense,,4446,0,4446,0,42291,UPI,North
01-09-22,Entertainment,Expense,,4421,0,4421,0,42291,Card,North
01-09-22,Medical,Expense,,3980,0,3980,0,42291,Bank Transfer,North
01-09-22,Savings,Savings,,12146,0,0,12146,0,UPI,North
01-09-22,Investment SIP,Investment,,9640,0,9640,0,42291,UPI,North
01-10-22,Salary,Income,Job,62511,62511,0,0,0,UPI,East
01-10-22,Freelance,Income,Freelancing,20333,20333,0,0,0,Bank Transfer,East
01-10-22,Rent,Expense,,17565,0,17565,0,42005,Auto Debit,East
01-10-22,Groceries,Expense,,8727,0,8727,0,42005,Card,East
01-10-22,Transport,Expense,,3047,0,3047,0,42005,UPI,East
01-10-22,Utilities,Expense,,4431,0,4431,0,42005,Card,East
01-10-22,Entertainment,Expense,,6713,0,6713,0,42005,Auto Debit,East
01-10-22,Medical,Expense,,2781,0,2781,0,42005,Bank Transfer,East
01-10-22,Savings,Savings,,12086,0,0,12086,0,Auto Debit,East
01-10-22,Investment SIP,Investment,,6534,0,6534,0,42005,Card,East
01-11-22,Salary,Income,Job,55975,55975,0,0,0,UPI,West
01-11-22,Freelance,Income,Freelancing,24689,24689,0,0,0,Card,West
01-11-22,Rent,Expense,,13429,0,13429,0,45616,Card,West
01-11-22,Groceries,Expense,,13263,0,13263,0,45616,Bank Transfer,West
01-11-22,Transport,Expense,,3210,0,3210,0,45616,Auto Debit,West
01-11-22,Utilities,Expense,,4927,0,4927,0,45616,Bank Transfer,West
01-11-22,Entertainment,Expense,,8124,0,8124,0,45616,Bank Transfer,West
01-11-22,Medical,Expense,,3354,0,3354,0,45616,Card,West
01-11-22,Savings,Savings,,15149,0,0,15149,0,Card,West
01-11-22,Investment SIP,Investment,,11219,0,11219,0,45616,Card,West
01-12-22,Salary,Income,Job,81476,81476,0,0,0,Auto Debit,North
01-12-22,Freelance,Income,Freelancing,22605,22605,0,0,0,Auto Debit,North
01-12-22,Rent,Expense,,12124,0,12124,0,38412,UPI,North
01-12-22,Groceries,Expense,,8084,0,8084,0,38412,UPI,North
01-12-22,Transport,Expense,,2522,0,2522,0,38412,Auto Debit,North
01-12-22,Utilities,Expense,,3841,0,3841,0,38412,Auto Debit,North
01-12-22,Entertainment,Expense,,5707,0,5707,0,38412,UPI,North
01-12-22,Medical,Expense,,4138,0,4138,0,38412,Auto Debit,North
01-12-22,Savings,Savings,,18618,0,0,18618,0,Card,North
01-12-22,Investment SIP,Investment,,11532,0,11532,0,38412,Bank Transfer,North
01-01-23,Salary,Income,Job,62235,62235,0,0,0,Bank Transfer,East
01-01-23,Freelance,Income,Freelancing,9230,9230,0,0,0,UPI,East
01-01-23,Rent,Expense,,20044,0,20044,0,46853,Auto Debit,East
01-01-23,Groceries,Expense,,9346,0,9346,0,46853,Card,East
01-01-23,Transport,Expense,,2689,0,2689,0,46853,Bank Transfer,East
01-01-23,Utilities,Expense,,4092,0,4092,0,46853,Auto Debit,East
01-01-23,Entertainment,Expense,,6768,0,6768,0,46853,Bank Transfer,East
01-01-23,Medical,Expense,,4081,0,4081,0,46853,Bank Transfer,East
01-01-23,Savings,Savings,,13722,0,0,13722,0,UPI,East
01-01-23,Investment SIP,Investment,,7230,0,7230,0,46853,Auto Debit,East
01-02-23,Salary,Income,Job,81433,81433,0,0,0,Bank Transfer,South
01-02-23,Freelance,Income,Freelancing,17786,17786,0,0,0,Bank Transfer,South
01-02-23,Rent,Expense,,20373,0,20373,0,49399,Auto Debit,South
01-02-23,Groceries,Expense,,8071,0,8071,0,49399,UPI,South
01-02-23,Transport,Expense,,2522,0,2522,0,49399,Bank Transfer,South
01-02-23,Utilities,Expense,,5116,0,5116,0,49399,UPI,South
01-02-23,Entertainment,Expense,,8105,0,8105,0,49399,Auto Debit,South
01-02-23,Medical,Expense,,4238,0,4238,0,49399,UPI,South
01-02-23,Savings,Savings,,16482,0,0,16482,0,Card,South
01-02-23,Investment SIP,Investment,,12762,0,12762,0,49399,UPI,South
01-03-23,Salary,Income,Job,58152,58152,0,0,0,Bank Transfer,South
01-03-23,Freelance,Income,Freelancing,19814,19814,0,0,0,UPI,South
01-03-23,Rent,Expense,,12047,0,12047,0,33370,UPI,South
01-03-23,Groceries,Expense,,6829,0,6829,0,33370,Bank Transfer,South
01-03-23,Transport,Expense,,5011,0,5011,0,33370,UPI,South
01-03-23,Utilities,Expense,,3258,0,3258,0,33370,UPI,South
01-03-23,Entertainment,Expense,,5155,0,5155,0,33370,Bank Transfer,South
01-03-23,Medical,Expense,,2783,0,2783,0,33370,Auto Debit,South
01-03-23,Savings,Savings,,17321,0,0,17321,0,Auto Debit,South
01-03-23,Investment SIP,Investment,,8310,0,8310,0,33370,Auto Debit,South
01-04-23,Salary,Income,Job,65060,65060,0,0,0,UPI,West
01-04-23,Freelance,Income,Freelancing,9193,9193,0,0,0,Card,West
01-04-23,Rent,Expense,,16352,0,16352,0,43083,UPI,West
01-04-23,Groceries,Expense,,7849,0,7849,0,43083,Card,West
01-04-23,Transport,Expense,,3057,0,3057,0,43083,Bank Transfer,West
01-04-23,Utilities,Expense,,4418,0,4418,0,43083,Auto Debit,West
01-04-23,Entertainment,Expense,,7540,0,7540,0,43083,Card,West
01-04-23,Medical,Expense,,4149,0,4149,0,43083,Card,West
01-04-23,Savings,Savings,,21173,0,0,21173,0,Auto Debit,West
01-04-23,Investment SIP,Investment,,7115,0,7115,0,43083,Auto Debit,West
01-05-23,Salary,Income,Job,53455,53455,0,0,0,UPI,East
01-05-23,Freelance,Income,Freelancing,11662,11662,0,0,0,Bank Transfer,East
01-05-23,Rent,Expense,,20357,0,20357,0,49731,UPI,East
01-05-23,Groceries,Expense,,12236,0,12236,0,49731,Card,East
01-05-23,Transport,Expense,,4362,0,4362,0,49731,UPI,East
01-05-23,Utilities,Expense,,2802,0,2802,0,49731,Bank Transfer,East
01-05-23,Entertainment,Expense,,6375,0,6375,0,49731,Auto Debit,East
01-05-23,Medical,Expense,,3384,0,3384,0,49731,Card,East
01-05-23,Savings,Savings,,8484,0,0,8484,0,Auto Debit,East
01-05-23,Investment SIP,Investment,,7927,0,7927,0,49731,Card,East
01-06-23,Salary,Income,Job,78788,78788,0,0,0,Card,West
01-06-23,Freelance,Income,Freelancing,18982,18982,0,0,0,UPI,West
01-06-23,Rent,Expense,,16393,0,16393,0,45650,UPI,West
01-06-23,Groceries,Expense,,11312,0,11312,0,45650,UPI,West
01-06-23,Transport,Expense,,2957,0,2957,0,45650,Bank Transfer,West
01-06-23,Utilities,Expense,,5373,0,5373,0,45650,Auto Debit,West
01-06-23,Entertainment,Expense,,4520,0,4520,0,45650,UPI,West
01-06-23,Medical,Expense,,3312,0,3312,0,45650,Auto Debit,West
01-06-23,Savings,Savings,,19942,0,0,19942,0,UPI,West
01-06-23,Investment SIP,Investment,,7691,0,7691,0,45650,Card,West
01-07-23,Salary,Income,Job,56893,56893,0,0,0,Auto Debit,South
01-07-23,Freelance,Income,Freelancing,21190,21190,0,0,0,Auto Debit,South
01-07-23,Rent,Expense,,20901,0,20901,0,53318,Auto Debit,South
01-07-23,Groceries,Expense,,12077,0,12077,0,53318,Auto Debit,South
01-07-23,Transport,Expense,,3982,0,3982,0,53318,Auto Debit,South
01-07-23,Utilities,Expense,,4422,0,4422,0,53318,UPI,South
01-07-23,Entertainment,Expense,,6747,0,6747,0,53318,Card,South
01-07-23,Medical,Expense,,4419,0,4419,0,53318,Auto Debit,South
01-07-23,Savings,Savings,,10626,0,0,10626,0,Card,South
01-07-23,Investment SIP,Investment,,14200,0,14200,0,53318,Card,South
01-08-23,Salary,Income,Job,48654,48654,0,0,0,UPI,South
01-08-23,Freelance,Income,Freelancing,16946,16946,0,0,0,Bank Transfer,South
01-08-23,Rent,Expense,,19180,0,19180,0,39129,UPI,South
01-08-23,Groceries,Expense,,6354,0,6354,0,39129,Auto Debit,South
01-08-23,Transport,Expense,,4135,0,4135,0,39129,UPI,South
01-08-23,Utilities,Expense,,4702,0,4702,0,39129,Bank Transfer,South
01-08-23,Entertainment,Expense,,3107,0,3107,0,39129,Card,South
01-08-23,Medical,Expense,,3409,0,3409,0,39129,Bank Transfer,South
01-08-23,Savings,Savings,,11772,0,0,11772,0,Card,South
01-08-23,Investment SIP,Investment,,8632,0,8632,0,39129,Auto Debit,South
01-09-23,Salary,Income,Job,81332,81332,0,0,0,Bank Transfer,West
01-09-23,Freelance,Income,Freelancing,13161,13161,0,0,0,UPI,West
01-09-23,Rent,Expense,,16458,0,16458,0,45716,Bank Transfer,West
01-09-23,Groceries,Expense,,12439,0,12439,0,45716,Auto Debit,West
01-09-23,Transport,Expense,,3102,0,3102,0,45716,Bank Transfer,West
01-09-23,Utilities,Expense,,4672,0,4672,0,45716,UPI,West
01-09-23,Entertainment,Expense,,5885,0,5885,0,45716,UPI,West
01-09-23,Medical,Expense,,1418,0,1418,0,45716,UPI,West
01-09-23,Savings,Savings,,21006,0,0,21006,0,UPI,West
01-09-23,Investment SIP,Investment,,7112,0,7112,0,45716,Bank Transfer,West
01-10-23,Salary,Income,Job,57715,57715,0,0,0,Card,East
01-10-23,Freelance,Income,Freelancing,15010,15010,0,0,0,UPI,East
01-10-23,Rent,Expense,,14728,0,14728,0,37644,Auto Debit,East
01-10-23,Groceries,Expense,,7226,0,7226,0,37644,Card,East
01-10-23,Transport,Expense,,3442,0,3442,0,37644,Auto Debit,East
01-10-23,Utilities,Expense,,4621,0,4621,0,37644,UPI,East
01-10-23,Entertainment,Expense,,5059,0,5059,0,37644,Auto Debit,East
01-10-23,Medical,Expense,,2775,0,2775,0,37644,Auto Debit,East
01-10-23,Savings,Savings,,9667,0,0,9667,0,Card,East
01-10-23,Investment SIP,Investment,,13719,0,13719,0,37644,Bank Transfer,East
01-11-23,Salary,Income,Job,65593,65593,0,0,0,Bank Transfer,East
01-11-23,Freelance,Income,Freelancing,22397,22397,0,0,0,Bank Transfer,East
01-11-23,Rent,Expense,,15712,0,15712,0,43610,UPI,East
01-11-23,Groceries,Expense,,7472,0,7472,0,43610,Card,East
01-11-23,Transport,Expense,,4166,0,4166,0,43610,Bank Transfer,East
01-11-23,Utilities,Expense,,4552,0,4552,0,43610,UPI,East
01-11-23,Entertainment,Expense,,7631,0,7631,0,43610,Card,East
01-11-23,Medical,Expense,,4260,0,4260,0,43610,Bank Transfer,East
01-11-23,Savings,Savings,,13413,0,0,13413,0,UPI,East
01-11-23,Investment SIP,Investment,,5536,0,5536,0,43610,Bank Transfer,East
01-12-23,Salary,Income,Job,61824,61824,0,0,0,Bank Transfer,North
01-12-23,Freelance,Income,Freelancing,11116,11116,0,0,0,Auto Debit,North
01-12-23,Rent,Expense,,20289,0,20289,0,50453,UPI,North
01-12-23,Groceries,Expense,,10153,0,10153,0,50453,Bank Transfer,North
01-12-23,Transport,Expense,,5301,0,5301,0,50453,Bank Transfer,North
01-12-23,Utilities,Expense,,3601,0,3601,0,50453,UPI,North
01-12-23,Entertainment,Expense,,5576,0,5576,0,50453,Bank Transfer,North
01-12-23,Medical,Expense,,3827,0,3827,0,50453,UPI,North
01-12-23,Savings,Savings,,17585,0,0,17585,0,UPI,North
01-12-23,Investment SIP,Investment,,8102,0,8102,0,50453,Auto Debit,North
01-01-24,Salary,Income,Job,71130,71130,0,0,0,Card,North
01-01-24,Freelance,Income,Freelancing,19954,19954,0,0,0,UPI,North
01-01-24,Rent,Expense,,15393,0,15393,0,42052,Bank Transfer,North
01-01-24,Groceries,Expense,,9725,0,9725,0,42052,Bank Transfer,North
01-01-24,Transport,Expense,,4958,0,4958,0,42052,Bank Transfer,North
01-01-24,Utilities,Expense,,3099,0,3099,0,42052,UPI,North
01-01-24,Entertainment,Expense,,4874,0,4874,0,42052,Auto Debit,North
01-01-24,Medical,Expense,,2502,0,2502,0,42052,Card,North
01-01-24,Savings,Savings,,9943,0,0,9943,0,Bank Transfer,North
01-01-24,Investment SIP,Investment,,6442,0,6442,0,42052,Card,North
01-02-24,Salary,Income,Job,59263,59263,0,0,0,Card,North
01-02-24,Freelance,Income,Freelancing,24607,24607,0,0,0,UPI,North
01-02-24,Rent,Expense,,12094,0,12094,0,38360,Bank Transfer,North
01-02-24,Groceries,Expense,,10299,0,10299,0,38360,UPI,North
01-02-24,Transport,Expense,,5651,0,5651,0,38360,UPI,North
01-02-24,Utilities,Expense,,2598,0,2598,0,38360,UPI,North
01-02-24,Entertainment,Expense,,3395,0,3395,0,38360,Bank Transfer,North
01-02-24,Medical,Expense,,3979,0,3979,0,38360,Bank Transfer,North
01-02-24,Savings,Savings,,11672,0,0,11672,0,Bank Transfer,North
01-02-24,Investment SIP,Investment,,5052,0,5052,0,38360,Card,North
