date,category,type,income_source,amount,income_amount,expense_amount,savings_amount,planned_budget,payment_method,region,Year,Month,Month_Year,Income,Expense,Savings,Budget_Variance,Expense_Ratio_%,Savings_Ratio_%,Budget_Used_%,Income_Contribution_%,Expense_Type,Spending_Status
2021-03-01,Rent,Expense,,18930,0,18930,0,38274,Bank Transfer,West,2021,March,2021-03,0,18930,-18930,19344,0.0,0.0,49.45916287819407,0.0,Essential,Within Budget
2021-03-01,Groceries,Expense,,6959,0,6959,0,38274,Card,West,2021,March,2021-03,0,6959,-6959,31315,0.0,0.0,18.182055703610807,0.0,Essential,Within Budget
2021-03-01,Transport,Expense,,3896,0,3896,0,38274,Bank Transfer,West,2021,March,2021-03,0,3896,-3896,34378,0.0,0.0,10.179233944714428,0.0,Essential,Within Budget
2021-03-01,Utilities,Expense,,2984,0,2984,0,38274,Card,West,2021,March,2021-03,0,2984,-2984,35290,0.0,0.0,7.7964153211057114,0.0,Non-Essential,Within Budget
2021-03-01,Entertainment,Expense,,4813,0,4813,0,38274,UPI,West,2021,March,2021-03,0,4813,-4813,33461,0.0,0.0,12.57511626691749,0.0,Non-Essential,Within Budget
2021-03-01,Medical,Expense,,2486,0,2486,0,38274,UPI,West,2021,March,2021-03,0,2486,-2486,35788,0.0,0.0,6.4952709411088465,0.0,Non-Essential,Within Budget
2021-03-01,Savings,Savings,,12205,0,0,12205,0,Auto Debit,West,2021,March,2021-03,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-03-01,Investment SIP,Investment,,7367,0,7367,0,38274,Card,West,2021,March,2021-03,0,0,0,38274,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-04-01,Salary,Income,Job,76122,76122,0,0,0,Bank Transfer,North,2021,April,2021-04,76122,0,76122,0,0.0,100.0,0.0,0.27471989105614286,Non-Essential,Within Budget
2021-04-01,Freelance,Income,Freelancing,24734,24734,0,0,0,Card,North,2021,April,2021-04,24734,0,24734,0,0.0,100.0,0.0,0.08926357407034283,Non-Essential,Within Budget
2021-04-01,Rent,Expense,,12440,0,12440,0,37891,Auto Debit,North,2021,April,2021-04,0,12440,-12440,25451,0.0,0.0,32.83101528067351,0.0,Essential,Within Budget
2021-04-01,Groceries,Expense,,9127,0,9127,0,37891,Bank Transfer,North,2021,April,2021-04,0,9127,-9127,28764,0.0,0.0,24.087514185426617,0.0,Essential,Within Budget
2021-04-01,Transport,Expense,,2713,0,2713,0,37891,Auto Debit,North,2021,April,2021-04,0,2713,-2713,35178,0.0,0.0,7.160011612256209,0.0,Essential,Within Budget
2021-04-01,Utilities,Expense,,3287,0,3287,0,37891,Bank Transfer,North,2021,April,2021-04,0,3287,-3287,34604,0.0,0.0,8.67488321765063,0.0,Non-Essential,Within Budget
2021-04-01,Entertainment,Expense,,6563,0,6563,0,37891,Auto Debit,North,2021,April,2021-04,0,6563,-6563,31328,0.0,0.0,17.32073579477976,0.0,Non-Essential,Within Budget
2021-04-01,Medical,Expense,,3131,0,3131,0,37891,Bank Transfer,North,2021,April,2021-04,0,3131,-3131,34760,0.0,0.0,8.263175952073052,0.0,Non-Essential,Within Budget
2021-04-01,Savings,Savings,,15746,0,0,15746,0,Auto Debit,North,2021,April,2021-04,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-04-01,Investment SIP,Investment,,13007,0,13007,0,37891,Auto Debit,North,2021,April,2021-04,0,0,0,37891,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-05-01,Salary,Income,Job,87165,87165,0,0,0,Bank Transfer,East,2021,May,2021-05,87165,0,87165,0,0.0,100.0,0.0,0.3145734387418708,Non-Essential,Within Budget
2021-05-01,Freelance,Income,Freelancing,14751,14751,0,0,0,Bank Transfer,East,2021,May,2021-05,14751,0,14751,0,0.0,100.0,0.0,0.05323550501785507,Non-Essential,Within Budget
2021-05-01,Rent,Expense,,12245,0,12245,0,34903,Auto Debit,East,2021,May,2021-05,0,12245,-12245,22658,0.0,0.0,35.082944159527834,0.0,Essential,Within Budget
2021-05-01,Groceries,Expense,,8555,0,8555,0,34903,UPI,East,2021,May,2021-05,0,8555,-8555,26348,0.0,0.0,24.510787038363464,0.0,Essential,Within Budget
2021-05-01,Transport,Expense,,3549,0,3549,0,34903,UPI,East,2021,May,2021-05,0,3549,-3549,31354,0.0,0.0,10.168180385640204,0.0,Essential,Within Budget
2021-05-01,Utilities,Expense,,3960,0,3960,0,34903,UPI,East,2021,May,2021-05,0,3960,-3960,30943,0.0,0.0,11.34572959344469,0.0,Non-Essential,Within Budget
2021-05-01,Entertainment,Expense,,3621,0,3621,0,34903,Auto Debit,East,2021,May,2021-05,0,3621,-3621,31282,0.0,0.0,10.374466378248288,0.0,Non-Essential,Within Budget
2021-05-01,Medical,Expense,,4331,0,4331,0,34903,Auto Debit,East,2021,May,2021-05,0,4331,-4331,30572,0.0,0.0,12.408675472022463,0.0,Non-Essential,Within Budget
2021-05-01,Savings,Savings,,21112,0,0,21112,0,Bank Transfer,East,2021,May,2021-05,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-05-01,Investment SIP,Investment,,13320,0,13320,0,34903,Bank Transfer,East,2021,May,2021-05,0,0,0,34903,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-06-01,Salary,Income,Job,65587,65587,0,0,0,UPI,East,2021,June,2021-06,65587,0,65587,0,0.0,100.0,0.0,0.23669968596068466,Non-Essential,Within Budget
2021-06-01,Freelance,Income,Freelancing,10040,10040,0,0,0,Auto Debit,East,2021,June,2021-06,10040,0,10040,0,0.0,100.0,0.0,0.0362337787525771,Non-Essential,Within Budget
2021-06-01,Rent,Expense,,18698,0,18698,0,50416,Bank Transfer,East,2021,June,2021-06,0,18698,-18698,31718,0.0,0.0,37.08743256109172,0.0,Essential,Within Budget
2021-06-01,Groceries,Expense,,13357,0,13357,0,50416,Auto Debit,East,2021,June,2021-06,0,13357,-13357,37059,0.0,0.0,26.493573468740085,0.0,Essential,Within Budget
2021-06-01,Transport,Expense,,5024,0,5024,0,50416,UPI,East,2021,June,2021-06,0,5024,-5024,45392,0.0,0.0,9.965090447476992,0.0,Essential,Within Budget
2021-06-01,Utilities,Expense,,2632,0,2632,0,50416,UPI,East,2021,June,2021-06,0,2632,-2632,47784,0.0,0.0,5.220564900031736,0.0,Non-Essential,Within Budget
2021-06-01,Entertainment,Expense,,8586,0,8586,0,50416,Card,East,2021,June,2021-06,0,8586,-8586,41830,0.0,0.0,17.03030783878134,0.0,Non-Essential,Within Budget
2021-06-01,Medical,Expense,,2032,0,2032,0,50416,Auto Debit,East,2021,June,2021-06,0,2032,-2032,48384,0.0,0.0,4.030466518565535,0.0,Non-Essential,Within Budget
2021-06-01,Savings,Savings,,8411,0,0,8411,0,UPI,East,2021,June,2021-06,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-06-01,Investment SIP,Investment,,8033,0,8033,0,50416,Card,East,2021,June,2021-06,0,0,0,50416,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-07-01,Salary,Income,Job,52239,52239,0,0,0,Auto Debit,West,2021,July,2021-07,52239,0,52239,0,0.0,100.0,0.0,0.18852752671871267,Non-Essential,Within Budget
2021-07-01,Freelance,Income,Freelancing,12841,12841,0,0,0,UPI,West,2021,July,2021-07,12841,0,12841,0,0.0,100.0,0.0,0.04634242559380902,Non-Essential,Within Budget
2021-07-01,Rent,Expense,,12840,0,12840,0,45024,Auto Debit,West,2021,July,2021-07,0,12840,-12840,32184,0.0,0.0,28.5181236673774,0.0,Essential,Within Budget
2021-07-01,Groceries,Expense,,13515,0,13515,0,45024,UPI,West,2021,July,2021-07,0,13515,-13515,31509,0.0,0.0,30.017324093816633,0.0,Essential,Within Budget
2021-07-01,Transport,Expense,,3464,0,3464,0,45024,Auto Debit,West,2021,July,2021-07,0,3464,-3464,41560,0.0,0.0,7.693674484719261,0.0,Essential,Within Budget
2021-07-01,Utilities,Expense,,4629,0,4629,0,45024,Card,West,2021,July,2021-07,0,4629,-4629,40395,0.0,0.0,10.281183368869936,0.0,Non-Essential,Within Budget
2021-07-01,Entertainment,Expense,,5130,0,5130,0,45024,Bank Transfer,West,2021,July,2021-07,0,5130,-5130,39894,0.0,0.0,11.393923240938166,0.0,Non-Essential,Within Budget
2021-07-01,Medical,Expense,,3837,0,3837,0,45024,Card,West,2021,July,2021-07,0,3837,-3837,41187,0.0,0.0,8.522121535181236,0.0,Non-Essential,Within Budget
2021-07-01,Savings,Savings,,10656,0,0,10656,0,Bank Transfer,West,2021,July,2021-07,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-07-01,Investment SIP,Investment,,12266,0,12266,0,45024,UPI,West,2021,July,2021-07,0,0,0,45024,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-08-01,Salary,Income,Job,49618,49618,0,0,0,Bank Transfer,East,2021,August,2021-08,49618,0,49618,0,0.0,100.0,0.0,0.17906848945671022,Non-Essential,Within Budget
2021-08-01,Freelance,Income,Freelancing,21069,21069,0,0,0,Auto Debit,East,2021,August,2021-08,21069,0,21069,0,0.0,100.0,0.0,0.07603680124880945,Non-Essential,Within Budget
2021-08-01,Rent,Expense,,15361,0,15361,0,42499,Auto Debit,East,2021,August,2021-08,0,15361,-15361,27138,0.0,0.0,36.14437986776159,0.0,Essential,Within Budget
2021-08-01,Groceries,Expense,,13404,0,13404,0,42499,Bank Transfer,East,2021,August,2021-08,0,13404,-13404,29095,0.0,0.0,31.539565636838514,0.0,Essential,Within Budget
2021-08-01,Transport,Expense,,2591,0,2591,0,42499,UPI,East,2021,August,2021-08,0,2591,-2591,39908,0.0,0.0,6.096614037977364,0.0,Essential,Within Budget
2021-08-01,Utilities,Expense,,2709,0,2709,0,42499,Bank Transfer,East,2021,August,2021-08,0,2709,-2709,39790,0.0,0.0,6.374267629826584,0.0,Non-Essential,Within Budget
2021-08-01,Entertainment,Expense,,6134,0,6134,0,42499,Card,East,2021,August,2021-08,0,6134,-6134,36365,0.0,0.0,14.43328078307725,0.0,Non-Essential,Within Budget
2021-08-01,Medical,Expense,,1262,0,1262,0,42499,UPI,East,2021,August,2021-08,0,1262,-1262,41237,0.0,0.0,2.969481634861997,0.0,Non-Essential,Within Budget
2021-08-01,Savings,Savings,,20440,0,0,20440,0,UPI,East,2021,August,2021-08,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-08-01,Investment SIP,Investment,,8011,0,8011,0,42499,Auto Debit,East,2021,August,2021-08,0,0,0,42499,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-09-01,Salary,Income,Job,69108,69108,0,0,0,UPI,East,2021,September,2021-09,69108,0,69108,0,0.0,100.0,0.0,0.24940677111883447,Non-Essential,Within Budget
2021-09-01,Freelance,Income,Freelancing,12754,12754,0,0,0,UPI,East,2021,September,2021-09,12754,0,12754,0,0.0,100.0,0.0,0.04602844763051478,Non-Essential,Within Budget
2021-09-01,Rent,Expense,,17103,0,17103,0,44731,Bank Transfer,East,2021,September,2021-09,0,17103,-17103,27628,0.0,0.0,38.235228365115915,0.0,Essential,Within Budget
2021-09-01,Groceries,Expense,,8784,0,8784,0,44731,Auto Debit,East,2021,September,2021-09,0,8784,-8784,35947,0.0,0.0,19.6373879412488,0.0,Essential,Within Budget
2021-09-01,Transport,Expense,,5903,0,5903,0,44731,Card,East,2021,September,2021-09,0,5903,-5903,38828,0.0,0.0,13.196664505600141,0.0,Essential,Within Budget
2021-09-01,Utilities,Expense,,3772,0,3772,0,44731,Auto Debit,East,2021,September,2021-09,0,3772,-3772,40959,0.0,0.0,8.43263061411549,0.0,Non-Essential,Within Budget
2021-09-01,Entertainment,Expense,,5523,0,5523,0,44731,Bank Transfer,East,2021,September,2021-09,0,5523,-5523,39208,0.0,0.0,12.347141803223716,0.0,Non-Essential,Within Budget
2021-09-01,Medical,Expense,,1929,0,1929,0,44731,Bank Transfer,East,2021,September,2021-09,0,1929,-1929,42802,0.0,0.0,4.312445507589815,0.0,Non-Essential,Within Budget
2021-09-01,Savings,Savings,,14617,0,0,14617,0,Auto Debit,East,2021,September,2021-09,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-09-01,Investment SIP,Investment,,8957,0,8957,0,44731,Auto Debit,East,2021,September,2021-09,0,0,0,44731,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-10-01,Salary,Income,Job,68462,68462,0,0,0,Card,East,2021,October,2021-10,68462,0,68462,0,0.0,100.0,0.0,0.24707539451782204,Non-Essential,Within Budget
2021-10-01,Freelance,Income,Freelancing,17306,17306,0,0,0,UPI,East,2021,October,2021-10,17306,0,17306,0,0.0,100.0,0.0,0.0624563521008067,Non-Essential,Within Budget
2021-10-01,Rent,Expense,,19708,0,19708,0,48106,Auto Debit,East,2021,October,2021-10,0,19708,-19708,28398,0.0,0.0,40.96786263667734,0.0,Essential,Within Budget
2021-10-01,Groceries,Expense,,6578,0,6578,0,48106,Auto Debit,East,2021,October,2021-10,0,6578,-6578,41528,0.0,0.0,13.67396998295431,0.0,Essential,Within Budget
2021-10-01,Transport,Expense,,4968,0,4968,0,48106,Auto Debit,East,2021,October,2021-10,0,4968,-4968,43138,0.0,0.0,10.327194113000457,0.0,Essential,Within Budget
2021-10-01,Utilities,Expense,,4370,0,4370,0,48106,Bank Transfer,East,2021,October,2021-10,0,4370,-4370,43736,0.0,0.0,9.084105932731884,0.0,Non-Essential,Within Budget
2021-10-01,Entertainment,Expense,,8711,0,8711,0,48106,Auto Debit,East,2021,October,2021-10,0,8711,-8711,39395,0.0,0.0,18.10792832494907,0.0,Non-Essential,Within Budget
2021-10-01,Medical,Expense,,4159,0,4159,0,48106,Card,East,2021,October,2021-10,0,4159,-4159,43947,0.0,0.0,8.645491206918056,0.0,Non-Essential,Within Budget
2021-10-01,Savings,Savings,,13574,0,0,13574,0,UPI,East,2021,October,2021-10,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-10-01,Investment SIP,Investment,,8873,0,8873,0,48106,Bank Transfer,East,2021,October,2021-10,0,0,0,48106,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-11-01,Salary,Income,Job,87690,87690,0,0,0,Auto Debit,North,2021,November,2021-11,87690,0,87690,0,0.0,100.0,0.0,0.31646813334795676,Non-Essential,Within Budget
2021-11-01,Freelance,Income,Freelancing,19257,19257,0,0,0,Card,North,2021,November,2021-11,19257,0,19257,0,0.0,100.0,0.0,0.06949739815123279,Non-Essential,Within Budget
2021-11-01,Rent,Expense,,16335,0,16335,0,44146,UPI,North,2021,November,2021-11,0,16335,-16335,27811,0.0,0.0,37.00221990667331,0.0,Essential,Within Budget
2021-11-01,Groceries,Expense,,9037,0,9037,0,44146,Auto Debit,North,2021,November,2021-11,0,9037,-9037,35109,0.0,0.0,20.470710823177637,0.0,Essential,Within Budget
2021-11-01,Transport,Expense,,3054,0,3054,0,44146,Bank Transfer,North,2021,November,2021-11,0,3054,-3054,41092,0.0,0.0,6.917954061523128,0.0,Essential,Within Budget
2021-11-01,Utilities,Expense,,5003,0,5003,0,44146,Bank Transfer,North,2021,November,2021-11,0,5003,-5003,39143,0.0,0.0,11.332850088343225,0.0,Non-Essential,Within Budget
2021-11-01,Entertainment,Expense,,8067,0,8067,0,44146,UPI,North,2021,November,2021-11,0,8067,-8067,36079,0.0,0.0,18.273456258777692,0.0,Non-Essential,Within Budget
2021-11-01,Medical,Expense,,3040,0,3040,0,44146,UPI,North,2021,November,2021-11,0,3040,-3040,41106,0.0,0.0,6.886241109047251,0.0,Non-Essential,Within Budget
2021-11-01,Savings,Savings,,20386,0,0,20386,0,UPI,North,2021,November,2021-11,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-11-01,Investment SIP,Investment,,7700,0,7700,0,44146,Card,North,2021,November,2021-11,0,0,0,44146,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-12-01,Salary,Income,Job,68994,68994,0,0,0,Bank Transfer,North,2021,December,2021-12,68994,0,68994,0,0.0,100.0,0.0,0.24899535171865583,Non-Essential,Within Budget
2021-12-01,Freelance,Income,Freelancing,17742,17742,0,0,0,Card,North,2021,December,2021-12,17742,0,17742,0,0.0,100.0,0.0,0.06402985085938476,Non-Essential,Within Budget
2021-12-01,Rent,Expense,,20193,0,20193,0,46691,Card,North,2021,December,2021-12,0,20193,-20193,26498,0.0,0.0,43.248163457625665,0.0,Essential,Within Budget
2021-12-01,Groceries,Expense,,9370,0,9370,0,46691,Bank Transfer,North,2021,December,2021-12,0,9370,-9370,37321,0.0,0.0,20.06810734402776,0.0,Essential,Within Budget
2021-12-01,Transport,Expense,,4487,0,4487,0,46691,Card,North,2021,December,2021-12,0,4487,-4487,42204,0.0,0.0,9.60998907712407,0.0,Essential,Within Budget
2021-12-01,Utilities,Expense,,3431,0,3431,0,46691,Bank Transfer,North,2021,December,2021-12,0,3431,-3431,43260,0.0,0.0,7.348311237711765,0.0,Non-Essential,Within Budget
2021-12-01,Entertainment,Expense,,7595,0,7595,0,46691,Auto Debit,North,2021,December,2021-12,0,7595,-7595,39096,0.0,0.0,16.266518172667112,0.0,Non-Essential,Within Budget
2021-12-01,Medical,Expense,,2325,0,2325,0,46691,Auto Debit,North,2021,December,2021-12,0,2325,-2325,44366,0.0,0.0,4.979546379387891,0.0,Non-Essential,Within Budget
2021-12-01,Savings,Savings,,14218,0,0,14218,0,Card,North,2021,December,2021-12,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-12-01,Investment SIP,Investment,,11841,0,11841,0,46691,UPI,North,2021,December,2021-12,0,0,0,46691,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2022-01-01,Salary,Income,Job,77242,77242,0,0,0,Auto Debit,West,2022,January,2022-01,77242,0,77242,0,0.0,100.0,0.0,0.2787619062157929,Non-Essential,Within Budget
2022-01-01,Freelance,Income,Freelancing,10338,10338,0,0,0,Bank Transfer,West,2022,January,2022-01,10338,0,10338,0,0.0,100.0,0.0,0.03730924350041256,Non-Essential,Within Budget
2022-01-01,Rent,Expense,,16824,0,16824,0,41697,Auto Debit,West,2022,January,2022-01,0,16824,-16824,24873,0.0,0.0,40.34822649111447,0.0,Essential,Within Budget
2022-01-01,Groceries,Expense,,7585,0,7585,0,41697,UPI,West,2022,January,2022-01,0,7585,-7585,34112,0.0,0.0,18.190757128810226,0.0,Essential,Within Budget
2022-01-01,Transport,Expense,,3339,0,3339,0,41697,Auto Debit,West,2022,January,2022-01,0,3339,-3339,38358,0.0,0.0,8.007770343190156,0.0,Essential,Within Budget
2022-01-01,Utilities,Expense,,3424,0,3424,0,41697,Card,West,2022,January,2022-01,0,3424,-3424,38273,0.0,0.0,8.211621939228241,0.0,Non-Essential,Within Budget
2022-01-01,Entertainment,Expense,,8627,0,8627,0,41697,Bank Transfer,West,2022,January,2022-01,0,8627,-8627,33070,0.0,0.0,20.689737870830037,0.0,Non-Essential,Within Budget
2022-01-01,Medical,Expense,,3673,0,3673,0,41697,Bank Transfer,West,2022,January,2022-01,0,3673,-3673,38024,0.0,0.0,8.808787202916276,0.0,Non-Essential,Within Budget
2022-01-01,Savings,Savings,,12107,0,0,12107,0,UPI,West,2022,January,2022-01,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2022-01-01,Investment SIP,Investment,,6176,0,6176,0,41697,Auto Debit,West,2022,January,2022-01,0,0,0,41697,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2022-02-01,Salary,Income,Job,62221,62221,0,0,0,Bank Transfer,West,2022,February,2022-02,62221,0,62221,0,0.0,100.0,0.0,0.2245519868290936,Non-Essential,Within Budget
2022-02-01,Freelance,Income,Freelancing,13418,13418,0,0,0,Bank Transfer,West,2022,February,2022-02,13418,0,13418,0,0.0,100.0,0.0,0.048424785189450155,Non-Essential,Within Budget
2022-02-01,Rent,Expense,,14925,0,14925,0,39882,Auto Debit,West,2022,February,2022-02,0,14925,-14925,24957,0.0,0.0,37.42289754776591,0.0,Essential,Within Budget
2022-02-01,Groceries,Expense,,8631,0,8631,0,39882,Auto Debit,West,2022,February,2022-02,0,8631,-8631,31251,0.0,0.0,21.641341958778394,0.0,Essential,Within Budget
2022-02-01,Transport,Expense,,4698,0,4698,0,39882,UPI,West,2022,February,2022-02,0,4698,-4698,35184,0.0,0.0,11.779750263276666,0.0,Essential,Within Budget
2022-02-01,Utilities,Expense,,4809,0,4809,0,39882,Card,West,2022,February,2022-02,0,4809,-4809,35073,0.0,0.0,12.058071310365579,0.0,Non-Essential,Within Budget
2022-02-01,Entertainment,Expense,,3406,0,3406,0,39882,Card,West,2022,February,2022-02,0,3406,-3406,36476,0.0,0.0,8.540193571034552,0.0,Non-Essential,Within Budget
2022-02-01,Medical,Expense,,1903,0,1903,0,39882,Bank Transfer,West,2022,February,2022-02,0,1903,-1903,37979,0.0,0.0,4.771576149641443,0.0,Non-Essential,Within Budget
2022-02-01,Savings,Savings,,9606,0,0,9606,0,UPI,West,2022,February,2022-02,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2022-02-01,Investment SIP,Investment,,14752,0,14752,0,39882,Card,West,2022,February,2022-02,0,0,0,39882,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2022-03-01,Salary,Income,Job,86520,86520,0,0,0,Auto Debit,West,2022,March,2022-03,86520,0,86520,0,0.0,100.0,0.0,0.3122456710829652,Non-Essential,Within Budget
2022-03-01,Freelance,Income,Freelancing,22245,22245,0,0,0,Card,West,2022,March,2022-03,22245,0,22245,0,0.0,100.0,0.0,0.08028091716644199,Non-Essential,Within Budget
2022-03-01,Rent,Expense,,19169,0,19169,0,46444,Auto Debit,West,2022,March,2022-03,0,19169,-19169,27275,0.0,0.0,41.27336146757386,0.0,Essential,Within Budget
2022-03-01,Groceries,Expense,,13462,0,13462,0,46444,Bank Transfer,West,2022,March,2022-03,0,13462,-13462,32982,0.0,0.0,28.985444836792695,0.0,Essential,Within Budget
2022-03-01,Transport,Expense,,4392,0,4392,0,46444,Auto Debit,West,2022,March,2022-03,0,4392,-4392,42052,0.0,0.0,9.456549823443286,0.0,Essential,Within Budget
2022-03-01,Utilities,Expense,,5352,0,5352,0,46444,UPI,West,2022,March,2022-03,0,5352,-5352,41092,0.0,0.0,11.523555249332528,0.0,Non-Essential,Within Budget
2022-03-01,Entertainment,Expense,,4454,0,4454,0,46444,UPI,West,2022,March,2022-03,0,4454,-4454,41990,0.0,0.0,9.5900439238653,0.0,Non-Essential,Within Budget
2022-03-01,Medical,Expense,,825,0,825,0,46444,Bank Transfer,West,2022,March,2022-03,0,825,-825,45619,0.0,0.0,1.776332787873568,0.0,Non-Essential,Within Budget
2022-03-01,Savings,Savings,,21948,0,0,21948,0,Bank Transfer,West,2022,March,2022-03,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2022-03-01,Investment SIP,Investment,,5121,0,5121,0,46444,Bank Transfer,West,2022,March,2022-03,0,0,0,46444,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2022-04-01,Salary,Income,Job,84694,84694,0,0,0,Auto Debit,East,2022,April,2022-04,84694,0,84694,0,0.0,100.0,0.0,0.3056557427958929,Non-Essential,Within Budget
2022-04-01,Freelance,Income,Freelancing,6837,6837,0,0,0,Auto Debit,East,2022,April,2022-04,6837,0,6837,0,0.0,100.0,0.0,0.024674337184399365,Non-Essential,Within Budget
